anomaly_id,timestamp,task_id,machine_id,operator_id,anomaly_type,severity,observed_value,baseline_value,reason,recommended_action
A00001,2026-01-22 14:09:15,T00756,EXC001,OP003,SLOW_REACTION,ATTENTION,562.2,386.695,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00002,2026-01-07 16:37:56,T00914,EXC001,OP007,HARSH_SWING,ATTENTION,122.7,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00003,2026-01-17 16:08:13,T00762,DOZ001,OP006,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00004,2026-01-23 17:58:58,T00252,LOD001,OP004,HIGH_FUEL_PER_CYCLE,ATTENTION,0.0,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00005,2026-01-04 11:12:06,T00884,EXC001,OP005,UNEXPECTED_MOVEMENT,ACTION,1.32,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00006,2026-01-05 11:15:24,T00151,LOD001,OP002,OVERLOAD,ACTION,77.54,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00007,2026-01-03 10:31:59,T00313,LOD001,OP002,ABNORMAL_CYCLE_TIME,ATTENTION,35.73,36.75,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00008,2026-01-08 11:43:45,T00461,EXC002,OP002,HIGH_FUEL_PER_CYCLE,ATTENTION,11.483,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00009,2026-01-25 14:35:27,T00546,EXC001,OP003,RAPID_CONTROL_CORRECTIONS,ACTION,5.86,2.774,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00010,2026-01-05 17:07:30,T00860,LOD001,OP002,UNEXPECTED_MOVEMENT,ATTENTION,2.02,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00011,2026-01-03 09:32:37,T00029,EXC001,OP001,HIGH_ENGINE_IDLE,ATTENTION,3.59,5.826,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00012,2026-01-14 09:19:14,T00310,LOD001,OP002,PROXIMITY_APPROACH,ACTION,16.97,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00013,2026-01-04 08:25:31,T00695,DOZ001,OP003,HIGH_ENGINE_IDLE,CRITICAL,1.62,5.841,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00014,2026-01-06 09:12:52,T00683,DOZ001,OP003,OVERLOAD,ACTION,58.43,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00015,2026-01-09 13:50:39,T00134,LOD001,OP003,SLOW_REACTION,ACTION,479.2,386.695,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00016,2026-01-06 12:33:39,T00804,DOZ001,OP007,PROXIMITY_APPROACH,ATTENTION,26.34,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00017,2026-01-08 15:45:58,T00535,EXC001,OP003,BELT_VIOLATION,CRITICAL,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00018,2026-01-03 11:09:13,T00086,DOZ001,OP001,HIGH_ENGINE_IDLE,ATTENTION,4.18,5.826,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00019,2026-01-04 11:21:46,T00884,EXC001,OP005,SLOW_REACTION,ACTION,477.5,416.965,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00020,2026-01-02 16:33:50,T00305,DOZ001,OP008,PROXIMITY_APPROACH,ATTENTION,28.97,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00021,2026-01-14 10:29:35,T00813,LOD001,OP005,RAPID_CONTROL_CORRECTIONS,ACTION,5.89,4.673,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00022,2026-01-28 15:26:24,T00214,EXC001,OP003,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00023,2026-01-29 10:44:14,T00817,EXC002,OP006,RAPID_CONTROL_CORRECTIONS,ACTION,3.43,3.319,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00024,2026-01-22 15:44:24,T00879,DOZ001,OP008,HIGH_ENGINE_IDLE,ATTENTION,5.35,5.594,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00025,2026-01-23 12:19:19,T00053,EXC002,OP001,SLOW_REACTION,ATTENTION,469.0,420.059,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00026,2026-01-05 10:08:03,T00612,LOD001,OP005,UNSTABLE_GROUND,CRITICAL,0.615,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
