handover_id,shift_id,operator_id,machine_id,completed_tasks,remaining_tasks,machine_status,safety_events,unusual_behaviour,next_task
H0001,S0001,OP006,EXC001,4,2,MONITOR,3,EXCESS_IDLE,LIFT
H0002,S0002,OP003,DOZ001,1,3,MONITOR,0,EXCESS_IDLE,LOAD
H0003,S0003,OP003,EXC001,2,1,MAINTENANCE_DUE,1,ABNORMAL_CYCLE_TIME,LOAD
H0004,S0004,OP006,EXC001,3,0,MONITOR,0,NONE,DIG
H0005,S0005,OP004,LOD001,4,1,MAINTENANCE_DUE,2,NONE,LIFT
H0006,S0006,OP001,LOD001,2,0,MONITOR,0,PROXIMITY_APPROACH,GRADE
H0007,S0007,OP003,EXC002,4,0,MONITOR,2,EXCESS_IDLE,LIFT
H0008,S0008,OP002,EXC002,2,0,MONITOR,0,ABNORMAL_CYCLE_TIME,GRADE
H0009,S0009,OP008,LOD001,5,2,MONITOR,2,NONE,LIFT
H0010,S0010,OP007,EXC002,5,1,MONITOR,1,EXCESS_IDLE,DIG
H0011,S0011,OP004,EXC002,2,0,MONITOR,1,NONE,LOAD
H0012,S0012,OP001,DOZ001,2,0,MONITOR,3,NONE,DIG
H0013,S0013,OP005,EXC001,2,3,MAINTENANCE_DUE,3,EXCESS_IDLE,LOAD
H0014,S0014,OP008,LOD001,1,2,NORMAL,3,EXCESS_IDLE,LIFT
H0015,S0015,OP001,EXC001,3,0,NORMAL,2,EXCESS_IDLE,DIG
H0016,S0016,OP007,EXC001,2,1,MONITOR,0,EXCESS_IDLE,GRADE
H0017,S0017,OP005,LOD001,3,3,NORMAL,1,EXCESS_IDLE,LOAD
H0018,S0018,OP004,DOZ001,3,0,MAINTENANCE_DUE,1,PROXIMITY_APPROACH,GRADE
H0019,S0019,OP001,EXC002,3,2,NORMAL,2,EXCESS_IDLE,LOAD
H0020,S0020,OP004,EXC001,5,0,NORMAL,1,NONE,GRADE
H0021,S0021,OP001,LOD001,3,0,MONITOR,3,EXCESS_IDLE,LIFT
H0022,S0022,OP004,LOD001,5,0,MAINTENANCE_DUE,2,NONE,LOAD
H0023,S0023,OP002,EXC002,1,2,MAINTENANCE_DUE,3,NONE,LOAD
H0024,S0024,OP004,DOZ001,5,0,MONITOR,0,EXCESS_IDLE,LIFT
H0025,S0025,OP007,EXC001,4,3,NORMAL,0,NONE,DIG
H0026,S0026,OP007,EXC002,4,2,MONITOR,2,PROXIMITY_APPROACH,LIFT
H0027,S0027,OP005,EXC002,5,0,MAINTENANCE_DUE,0,PROXIMITY_APPROACH,DIG
H0028,S0028,OP006,LOD001,4,2,MAINTENANCE_DUE,0,NONE,LIFT
H0029,S0029,OP001,EXC001,3,2,MONITOR,2,PROXIMITY_APPROACH,LOAD
H0030,S0030,OP001,EXC001,4,1,MONITOR,2,ABNORMAL_CYCLE_TIME,GRADE
H0031,S0031,OP007,EXC001,4,3,NORMAL,3,EXCESS_IDLE,LIFT
H0032,S0032,OP005,DOZ001,4,3,MAINTENANCE_DUE,0,ABNORMAL_CYCLE_TIME,GRADE
H0033,S0033,OP001,LOD001,3,0,NORMAL,0,NONE,DIG
H0034,S0034,OP007,EXC001,2,3,MAINTENANCE_DUE,1,EXCESS_IDLE,LOAD
H0035,S0035,OP002,LOD001,2,2,NORMAL,2,EXCESS_IDLE,LIFT
H0036,S0036,OP006,EXC002,3,0,MONITOR,0,EXCESS_IDLE,GRADE
H0037,S0037,OP002,LOD001,5,2,MONITOR,3,ABNORMAL_CYCLE_TIME,LIFT
H0038,S0038,OP001,EXC001,4,3,MAINTENANCE_DUE,2,NONE,LIFT
H0039,S0039,OP008,EXC002,1,3,NORMAL,3,PROXIMITY_APPROACH,DIG
H0040,S0040,OP003,EXC001,4,2,NORMAL,2,NONE,LIFT
H0041,S0041,OP008,LOD001,3,1,MONITOR,3,ABNORMAL_CYCLE_TIME,LIFT
H0042,S0042,OP001,EXC001,5,1,MAINTENANCE_DUE,1,NONE,LIFT
H0043,S0043,OP007,LOD001,5,2,NORMAL,2,EXCESS_IDLE,GRADE
H0044,S0044,OP001,DOZ001,1,2,NORMAL,1,PROXIMITY_APPROACH,LIFT
H0045,S0045,OP008,EXC002,3,0,NORMAL,0,ABNORMAL_CYCLE_TIME,GRADE
H0046,S0046,OP002,EXC001,3,3,MONITOR,2,PROXIMITY_APPROACH,LIFT
H0047,S0047,OP007,EXC001,4,3,NORMAL,2,NONE,GRADE
H0048,S0048,OP007,DOZ001,4,0,MAINTENANCE_DUE,2,ABNORMAL_CYCLE_TIME,GRADE
H0049,S0049,OP003,EXC001,3,3,MONITOR,1,PROXIMITY_APPROACH,DIG
H0050,S0050,OP002,LOD001,1,1,MAINTENANCE_DUE,2,NONE,LOAD
H0051,S0051,OP004,DOZ001,4,1,MONITOR,0,NONE,DIG
H0052,S0052,OP004,EXC002,3,0,MAINTENANCE_DUE,3,ABNORMAL_CYCLE_TIME,GRADE
H0053,S0053,OP005,EXC001,5,2,NORMAL,0,PROXIMITY_APPROACH,LIFT
H0054,S0054,OP004,EXC002,1,3,MAINTENANCE_DUE,3,NONE,GRADE
H0055,S0055,OP002,DOZ001,5,0,MONITOR,2,PROXIMITY_APPROACH,LIFT
H0056,S0056,OP006,DOZ001,2,3,NORMAL,2,NONE,DIG
H0057,S0057,OP006,EXC002,1,2,MAINTENANCE_DUE,2,PROXIMITY_APPROACH,GRADE
H0058,S0058,OP001,EXC001,4,0,NORMAL,3,ABNORMAL_CYCLE_TIME,GRADE
H0059,S0059,OP003,LOD001,2,0,MAINTENANCE_DUE,1,NONE,LIFT
H0060,S0060,OP004,DOZ001,4,2,MAINTENANCE_DUE,1,ABNORMAL_CYCLE_TIME,DIG
H0061,S0061,OP006,DOZ001,5,3,NORMAL,2,NONE,LOAD
H0062,S0062,OP004,EXC001,5,2,MONITOR,1,PROXIMITY_APPROACH,LIFT
H0063,S0063,OP001,EXC001,1,2,NORMAL,3,PROXIMITY_APPROACH,LIFT
H0064,S0064,OP002,DOZ001,1,2,MONITOR,3,PROXIMITY_APPROACH,DIG
H0065,S0065,OP007,EXC002,4,0,MONITOR,2,ABNORMAL_CYCLE_TIME,DIG
H0066,S0066,OP002,DOZ001,3,2,NORMAL,0,NONE,LOAD
H0067,S0067,OP001,LOD001,1,3,MONITOR,3,NONE,LIFT
H0068,S0068,OP004,LOD001,2,0,NORMAL,3,ABNORMAL_CYCLE_TIME,DIG
H0069,S0069,OP007,LOD001,4,3,NORMAL,3,EXCESS_IDLE,LIFT
H0070,S0070,OP006,EXC002,5,2,MAINTENANCE_DUE,2,EXCESS_IDLE,GRADE
H0071,S0071,OP008,EXC002,2,2,MONITOR,3,EXCESS_IDLE,LOAD
H0072,S0072,OP002,LOD001,1,3,MAINTENANCE_DUE,1,PROXIMITY_APPROACH,GRADE
H0073,S0073,OP001,DOZ001,3,2,MONITOR,2,PROXIMITY_APPROACH,LIFT
H0074,S0074,OP005,EXC002,4,0,NORMAL,2,EXCESS_IDLE,LIFT
