operator_id,task_type,median_cycle_time_sec,typical_idle_min,typical_corrections_per_min,typical_reaction_ms
OP001,DIG,25.87,5.83,2.69,420.1
OP001,LIFT,60.02,5.83,2.69,420.1
OP001,LOAD,31.04,5.83,2.69,420.1
OP001,GRADE,43.46,5.83,2.69,420.1
OP002,DIG,24.76,8.36,3.75,456.1
OP002,LIFT,57.44,8.36,3.75,456.1
OP002,LOAD,29.71,8.36,3.75,456.1
OP002,GRADE,41.59,8.36,3.75,456.1
OP003,DIG,26.13,5.84,2.77,386.7
OP003,LIFT,60.63,5.84,2.77,386.7
OP003,LOAD,31.36,5.84,2.77,386.7
OP003,GRADE,43.9,5.84,2.77,386.7
OP004,DIG,27.67,5.84,2.37,470.7
OP004,LIFT,64.18,5.84,2.37,470.7
OP004,LOAD,33.2,5.84,2.37,470.7
OP004,GRADE,46.48,5.84,2.37,470.7
OP005,DIG,24.59,7.6,4.67,417.0
OP005,LIFT,57.05,7.6,4.67,417.0
OP005,LOAD,29.51,7.6,4.67,417.0
OP005,GRADE,41.31,7.6,4.67,417.0
OP006,DIG,24.59,2.22,3.32,434.0
OP006,LIFT,57.05,2.22,3.32,434.0
OP006,LOAD,29.51,2.22,3.32,434.0
OP006,GRADE,41.31,2.22,3.32,434.0
OP007,DIG,27.76,2.69,3.55,416.9
OP007,LIFT,64.41,2.69,3.55,416.9
OP007,LOAD,33.32,2.69,3.55,416.9
OP007,GRADE,46.64,2.69,3.55,416.9
OP008,DIG,26.34,5.59,2.36,551.9
OP008,LIFT,61.12,5.59,2.36,551.9
OP008,LOAD,31.61,5.59,2.36,551.9
OP008,GRADE,44.26,5.59,2.36,551.9
