shift_id,operator_id,machine_id,shift_start,shift_end
S0001,OP001,EXC001,2026-01-01 06:00:00,2026-01-01 16:00:00
S0002,OP002,EXC002,2026-01-01 18:00:00,2026-01-02 04:00:00
S0003,OP003,LOD001,2026-01-01 06:00:00,2026-01-01 16:00:00
S0004,OP004,DOZ001,2026-01-01 18:00:00,2026-01-02 04:00:00
S0005,OP005,EXC001,2026-01-01 06:00:00,2026-01-01 16:00:00
S0006,OP006,EXC002,2026-01-01 18:00:00,2026-01-02 04:00:00
S0007,OP007,LOD001,2026-01-02 06:00:00,2026-01-02 16:00:00
S0008,OP008,DOZ001,2026-01-02 18:00:00,2026-01-03 04:00:00
S0009,OP001,EXC001,2026-01-02 06:00:00,2026-01-02 16:00:00
S0010,OP002,EXC002,2026-01-02 18:00:00,2026-01-03 04:00:00
S0011,OP003,LOD001,2026-01-02 06:00:00,2026-01-02 16:00:00
S0012,OP004,DOZ001,2026-01-02 18:00:00,2026-01-03 04:00:00
S0013,OP005,EXC001,2026-01-03 06:00:00,2026-01-03 16:00:00
S0014,OP006,EXC002,2026-01-03 18:00:00,2026-01-04 04:00:00
S0015,OP007,LOD001,2026-01-03 06:00:00,2026-01-03 16:00:00
S0016,OP008,DOZ001,2026-01-03 18:00:00,2026-01-04 04:00:00
S0017,OP001,EXC001,2026-01-03 06:00:00,2026-01-03 16:00:00
S0018,OP002,EXC002,2026-01-03 18:00:00,2026-01-04 04:00:00
S0019,OP003,LOD001,2026-01-04 06:00:00,2026-01-04 16:00:00
S0020,OP004,DOZ001,2026-01-04 18:00:00,2026-01-05 04:00:00
S0021,OP005,EXC001,2026-01-04 06:00:00,2026-01-04 16:00:00
S0022,OP006,EXC002,2026-01-04 18:00:00,2026-01-05 04:00:00
S0023,OP007,LOD001,2026-01-04 06:00:00,2026-01-04 16:00:00
S0024,OP008,DOZ001,2026-01-04 18:00:00,2026-01-05 04:00:00
S0025,OP001,EXC001,2026-01-05 06:00:00,2026-01-05 16:00:00
S0026,OP002,EXC002,2026-01-05 18:00:00,2026-01-06 04:00:00
S0027,OP003,LOD001,2026-01-05 06:00:00,2026-01-05 16:00:00
S0028,OP004,DOZ001,2026-01-05 18:00:00,2026-01-06 04:00:00
S0029,OP005,EXC001,2026-01-05 06:00:00,2026-01-05 16:00:00
S0030,OP006,EXC002,2026-01-05 18:00:00,2026-01-06 04:00:00
S0031,OP007,LOD001,2026-01-06 06:00:00,2026-01-06 16:00:00
S0032,OP008,DOZ001,2026-01-06 18:00:00,2026-01-07 04:00:00
S0033,OP001,EXC001,2026-01-06 06:00:00,2026-01-06 16:00:00
S0034,OP002,EXC002,2026-01-06 18:00:00,2026-01-07 04:00:00
S0035,OP003,LOD001,2026-01-06 06:00:00,2026-01-06 16:00:00
S0036,OP004,DOZ001,2026-01-06 18:00:00,2026-01-07 04:00:00
S0037,OP005,EXC001,2026-01-07 06:00:00,2026-01-07 16:00:00
S0038,OP006,EXC002,2026-01-07 18:00:00,2026-01-08 04:00:00
S0039,OP007,LOD001,2026-01-07 06:00:00,2026-01-07 16:00:00
S0040,OP008,DOZ001,2026-01-07 18:00:00,2026-01-08 04:00:00
S0041,OP001,EXC001,2026-01-07 06:00:00,2026-01-07 16:00:00
S0042,OP002,EXC002,2026-01-07 18:00:00,2026-01-08 04:00:00
S0043,OP003,LOD001,2026-01-08 06:00:00,2026-01-08 16:00:00
S0044,OP004,DOZ001,2026-01-08 18:00:00,2026-01-09 04:00:00
S0045,OP005,EXC001,2026-01-08 06:00:00,2026-01-08 16:00:00
S0046,OP006,EXC002,2026-01-08 18:00:00,2026-01-09 04:00:00
S0047,OP007,LOD001,2026-01-08 06:00:00,2026-01-08 16:00:00
S0048,OP008,DOZ001,2026-01-08 18:00:00,2026-01-09 04:00:00
S0049,OP001,EXC001,2026-01-09 06:00:00,2026-01-09 16:00:00
S0050,OP002,EXC002,2026-01-09 18:00:00,2026-01-10 04:00:00
S0051,OP003,LOD001,2026-01-09 06:00:00,2026-01-09 16:00:00
S0052,OP004,DOZ001,2026-01-09 18:00:00,2026-01-10 04:00:00
S0053,OP005,EXC001,2026-01-09 06:00:00,2026-01-09 16:00:00
S0054,OP006,EXC002,2026-01-09 18:00:00,2026-01-10 04:00:00
S0055,OP007,LOD001,2026-01-10 06:00:00,2026-01-10 16:00:00
S0056,OP008,DOZ001,2026-01-10 18:00:00,2026-01-11 04:00:00
S0057,OP001,EXC001,2026-01-10 06:00:00,2026-01-10 16:00:00
S0058,OP002,EXC002,2026-01-10 18:00:00,2026-01-11 04:00:00
S0059,OP003,LOD001,2026-01-10 06:00:00,2026-01-10 16:00:00
S0060,OP004,DOZ001,2026-01-10 18:00:00,2026-01-11 04:00:00
S0061,OP005,EXC001,2026-01-11 06:00:00,2026-01-11 16:00:00
S0062,OP006,EXC002,2026-01-11 18:00:00,2026-01-12 04:00:00
S0063,OP007,LOD001,2026-01-11 06:00:00,2026-01-11 16:00:00
S0064,OP008,DOZ001,2026-01-11 18:00:00,2026-01-12 04:00:00
S0065,OP001,EXC001,2026-01-11 06:00:00,2026-01-11 16:00:00
S0066,OP002,EXC002,2026-01-11 18:00:00,2026-01-12 04:00:00
S0067,OP003,LOD001,2026-01-12 06:00:00,2026-01-12 16:00:00
S0068,OP004,DOZ001,2026-01-12 18:00:00,2026-01-13 04:00:00
S0069,OP005,EXC001,2026-01-12 06:00:00,2026-01-12 16:00:00
S0070,OP006,EXC002,2026-01-12 18:00:00,2026-01-13 04:00:00
S0071,OP007,LOD001,2026-01-12 06:00:00,2026-01-12 16:00:00
S0072,OP008,DOZ001,2026-01-12 18:00:00,2026-01-13 04:00:00
S0073,OP001,EXC001,2026-01-13 06:00:00,2026-01-13 16:00:00
S0074,OP002,EXC002,2026-01-13 18:00:00,2026-01-14 04:00:00
S0075,OP003,LOD001,2026-01-13 06:00:00,2026-01-13 16:00:00
S0076,OP004,DOZ001,2026-01-13 18:00:00,2026-01-14 04:00:00
S0077,OP005,EXC001,2026-01-13 06:00:00,2026-01-13 16:00:00
S0078,OP006,EXC002,2026-01-13 18:00:00,2026-01-14 04:00:00
S0079,OP007,LOD001,2026-01-14 06:00:00,2026-01-14 16:00:00
