task_id,task_type,machine_id,machine_type,operator_id,scheduled_start,scheduled_end,start_time,end_time,actual_duration_min,planned_quantity,quantity_done,progress_pct,cycle_time_sec,cycles_completed,ground_softness,rain,slope_deg,avg_load_pct,is_night,idle_min,fuel_used_l
T00001,DIG,EXC001,EXCAVATOR,OP005,2026-01-08 09:15:00,2026-01-08 10:30:00,2026-01-08 09:13:36,2026-01-08 09:44:33,30.95,184,166,90.2,41.76,24,0.636,1,5.08,48.4,0,16.97,105.11
T00002,DIG,EXC002,EXCAVATOR,OP001,2026-01-01 07:15:00,2026-01-01 08:30:00,2026-01-01 07:07:31,2026-01-01 07:38:19,30.81,318,302,95.0,31.4,35,0.21,0,2.99,56.69,0,11.47,115.05
T00003,DIG,EXC001,EXCAVATOR,OP007,2026-01-08 13:30:00,2026-01-08 14:45:00,2026-01-08 13:29:34,2026-01-08 13:42:02,12.48,86,73,84.9,36.36,10,0.068,0,6.78,81.56,0,6.51,43.2
T00004,LIFT,EXC002,EXCAVATOR,OP006,2026-01-09 08:15:00,2026-01-09 09:55:00,2026-01-09 08:23:55,2026-01-09 09:03:35,39.66,106,106,100.0,106.89,15,0.78,1,4.33,76.92,0,12.94,215.21
T00005,GRADE,DOZ001,DOZER,OP006,2026-01-28 11:30:00,2026-01-28 13:30:00,2026-01-28 11:21:34,2026-01-28 11:55:14,33.66,238,202,84.9,57.42,27,0.34,0,7.06,63.29,0,5.94,162.05
T00006,DIG,EXC002,EXCAVATOR,OP002,2026-01-18 10:30:00,2026-01-18 11:45:00,2026-01-18 10:32:05,2026-01-18 11:04:55,32.82,276,235,85.1,32.71,32,0.324,1,3.68,53.85,0,17.3,120.57
T00007,DIG,EXC001,EXCAVATOR,OP005,2026-01-03 09:00:00,2026-01-03 10:15:00,2026-01-03 08:57:41,2026-01-03 09:31:47,34.1,469,469,100.0,29.76,53,0.376,0,1.5,58.07,0,7.82,163.76
T00008,LOAD,LOD001,LOADER,OP006,2026-01-12 09:30:00,2026-01-12 10:50:00,2026-01-12 09:30:55,2026-01-12 09:54:38,23.71,219,120,54.8,36.6,24,0.336,0,4.48,64.25,0,8.91,102.12
T00009,DIG,EXC001,EXCAVATOR,OP004,2026-01-06 13:45:00,2026-01-06 15:00:00,2026-01-06 13:35:36,2026-01-06 14:01:54,26.3,356,160,44.9,32.03,40,0.175,0,0.16,68.69,0,7.62,149.71
T00010,LIFT,EXC002,EXCAVATOR,OP001,2026-01-08 06:30:00,2026-01-08 08:10:00,2026-01-08 06:39:22,2026-01-08 07:08:48,29.42,122,122,100.0,91.79,13,0.313,0,6.06,89.64,1,9.53,176.7
T00011,LIFT,EXC002,EXCAVATOR,OP004,2026-01-21 13:45:00,2026-01-21 15:25:00,2026-01-21 13:30:42,2026-01-21 14:03:33,32.85,137,137,100.0,92.71,15,0.26,0,6.23,88.17,0,9.67,192.25
T00012,LIFT,EXC001,EXCAVATOR,OP005,2026-01-24 15:45:00,2026-01-24 17:25:00,2026-01-24 15:35:12,2026-01-24 16:03:34,28.36,122,122,100.0,76.35,14,0.531,0,1.33,80.24,0,10.55,145.91
T00013,LIFT,EXC002,EXCAVATOR,OP002,2026-01-25 06:00:00,2026-01-25 07:40:00,2026-01-25 05:58:30,2026-01-25 06:15:43,17.22,59,53,89.8,93.12,7,0.278,0,12.16,76.94,1,6.2,94.35
T00014,GRADE,DOZ001,DOZER,OP007,2026-01-13 15:45:00,2026-01-13 17:45:00,2026-01-13 15:45:36,2026-01-13 17:46:39,121.04,664,299,45.0,77.44,81,0.662,1,0.26,67.1,0,16.14,666.58
T00015,DIG,EXC001,EXCAVATOR,OP005,2026-01-25 16:30:00,2026-01-25 17:45:00,2026-01-25 16:32:47,2026-01-25 17:00:47,28.01,194,194,100.0,41.58,22,0.344,0,5.94,73.14,0,12.76,110.79
T00016,LIFT,EXC002,EXCAVATOR,OP001,2026-01-24 17:30:00,2026-01-24 19:10:00,2026-01-24 17:25:58,2026-01-24 18:10:00,44.02,148,111,75.0,94.43,18,0.6,1,3.84,58.12,0,13.82,207.74
T00017,DIG,EXC002,EXCAVATOR,OP004,2026-01-05 11:15:00,2026-01-05 12:30:00,2026-01-05 11:09:39,2026-01-05 12:29:02,79.37,632,284,44.9,50.0,74,0.631,1,11.19,86.43,0,14.72,445.15
T00018,DIG,EXC002,EXCAVATOR,OP008,2026-01-01 07:30:00,2026-01-01 08:45:00,2026-01-01 07:42:23,2026-01-01 08:26:30,44.13,394,394,100.0,36.71,45,0.175,1,6.92,71.18,0,16.59,203.15
T00019,LIFT,EXC001,EXCAVATOR,OP002,2026-01-24 13:00:00,2026-01-24 14:40:00,2026-01-24 13:19:35,2026-01-24 13:49:45,30.16,156,117,75.0,80.14,18,0.231,1,5.74,83.75,0,7.16,195.84
T00020,LIFT,EXC002,EXCAVATOR,OP003,2026-01-09 14:45:00,2026-01-09 16:25:00,2026-01-09 15:00:21,2026-01-09 15:19:56,19.58,74,41,55.4,71.83,8,0.125,0,3.2,80.05,0,8.75,76.56
T00021,LIFT,EXC002,EXCAVATOR,OP007,2026-01-22 16:30:00,2026-01-22 18:10:00,2026-01-22 16:40:47,2026-01-22 17:03:05,22.29,132,73,55.3,74.78,15,0.106,0,5.29,69.77,0,3.18,152.78
T00022,GRADE,DOZ001,DOZER,OP004,2026-01-08 07:30:00,2026-01-08 09:30:00,2026-01-08 07:24:43,2026-01-08 08:05:19,40.6,193,174,90.2,63.07,24,0.457,0,6.95,42.12,0,13.37,148.72
T00023,LIFT,EXC001,EXCAVATOR,OP001,2026-01-03 17:00:00,2026-01-03 18:40:00,2026-01-03 16:38:29,2026-01-03 16:59:24,20.91,78,78,100.0,78.01,9,0.236,0,6.41,72.9,0,9.21,99.41
T00024,DIG,EXC002,EXCAVATOR,OP002,2026-01-17 09:30:00,2026-01-17 10:45:00,2026-01-17 09:39:38,2026-01-17 10:21:38,42.0,577,577,100.0,31.13,64,0.166,0,6.72,67.88,0,8.79,213.94
T00025,LIFT,EXC002,EXCAVATOR,OP004,2026-01-26 13:45:00,2026-01-26 15:25:00,2026-01-26 13:20:33,2026-01-26 13:38:32,17.99,68,68,100.0,76.56,8,0.283,0,3.18,78.32,0,7.78,85.93
T00026,GRADE,DOZ001,DOZER,OP007,2026-01-14 13:00:00,2026-01-14 15:00:00,2026-01-14 12:49:52,2026-01-14 13:47:30,57.63,351,351,100.0,65.4,43,0.563,0,1.69,63.23,0,10.76,266.82
T00027,LOAD,LOD001,LOADER,OP004,2026-01-07 09:45:00,2026-01-07 11:05:00,2026-01-07 10:10:50,2026-01-07 10:26:13,15.39,75,71,94.7,40.55,9,0.229,0,5.13,72.13,0,9.02,48.96
T00028,LOAD,LOD001,LOADER,OP004,2026-01-28 07:45:00,2026-01-28 09:05:00,2026-01-28 07:49:20,2026-01-28 08:16:41,27.35,246,160,65.0,45.81,28,0.215,0,7.23,70.42,0,4.07,143.58
T00029,DIG,EXC001,EXCAVATOR,OP001,2026-01-03 09:15:00,2026-01-03 10:30:00,2026-01-03 09:13:37,2026-01-03 09:51:38,38.02,496,471,95.0,32.32,54,0.311,0,0.8,86.31,0,7.18,217.77
T00030,LIFT,EXC002,EXCAVATOR,OP001,2026-01-06 12:00:00,2026-01-06 13:40:00,2026-01-06 12:06:10,2026-01-06 12:31:22,25.2,119,119,100.0,89.82,14,0.53,0,4.34,91.16,0,4.24,183.75
T00031,GRADE,DOZ001,DOZER,OP007,2026-01-23 17:45:00,2026-01-23 19:45:00,2026-01-23 17:32:45,2026-01-23 19:10:54,98.15,467,467,100.0,84.0,57,0.769,1,8.84,61.16,0,18.35,511.04
T00032,LIFT,EXC001,EXCAVATOR,OP001,2026-01-24 11:00:00,2026-01-24 12:40:00,2026-01-24 11:16:00,2026-01-24 11:35:34,19.56,32,29,90.6,91.4,4,0.323,1,8.33,58.69,0,13.81,50.33
T00033,LIFT,EXC001,EXCAVATOR,OP002,2026-01-28 08:00:00,2026-01-28 09:40:00,2026-01-28 08:04:23,2026-01-28 08:18:08,13.75,37,33,89.2,74.46,5,0.438,0,0.0,75.44,0,8.61,53.56
T00034,LIFT,EXC002,EXCAVATOR,OP002,2026-01-29 15:15:00,2026-01-29 16:55:00,2026-01-29 15:12:42,2026-01-29 15:23:10,10.47,30,27,90.0,65.05,4,0.134,0,3.69,71.53,0,7.25,35.39
T00035,GRADE,DOZ001,DOZER,OP005,2026-01-07 16:30:00,2026-01-07 18:30:00,2026-01-07 16:23:25,2026-01-07 17:52:31,89.09,638,638,100.0,59.16,79,0.686,0,2.54,62.14,0,11.19,478.54
